race,income,sex,schoolYears,age,spend
other,8776.0,female,13.0,58.0,838.58
white,83979.0,female,18.0,51.0,794.65
white,42089.0,male,16.0,33.0,719.14
white,63591.0,female,16.0,54.0,798.14
white,7590.0,female,13.0,45.0,667.46
white,49071.0,female,16.0,46.0,734.98
white,54672.0,male,15.0,38.0,859.47
white,20307.0,female,12.0,53.0,792.47
other,143594.0,male,16.0,29.0,613.23
white,99680.0,male,18.0,40.0,935.82
white,168014.0,male,18.0,36.0,846.21
other,49361.0,female,13.0,50.0,766.88
black,17678.0,female,12.0,50.0,560.08
white,62021.0,female,15.0,55.0,828.39
hispanic,71961.0,female,15.0,49.0,751.27
asian,41526.0,male,17.0,36.0,775.79
white,51009.0,male,15.0,29.0,580.7
white,613754.0,female,16.0,52.0,824.71
white,59537.0,female,16.0,50.0,772.85
hispanic,63083.0,male,15.0,37.0,979.42
hispanic,15058.0,male,11.0,29.0,720.56
white,128322.0,male,19.0,35.0,768.14
black,20850.0,female,11.0,51.0,557.91
white,26679.0,female,14.0,52.0,761.63
white,272329.0,male,19.0,32.0,699.84
other,24062.0,female,12.0,42.0,650.47
white,41081.0,male,15.0,31.0,604.06
other,17611.0,male,12.0,34.0,713.61
asian,68243.0,female,17.0,48.0,864.08
black,56027.0,female,13.0,52.0,589.59
white,132274.0,male,18.0,32.0,673.13
white,151324.0,male,17.0,28.0,584.06
black,52063.0,male,15.0,30.0,621.24
black,25042.0,female,11.0,42.0,442.78
white,84859.0,female,17.0,54.0,842.5
white,49617.0,male,16.0,37.0,846.49
white,212336.0,male,19.0,31.0,644.21
other,53364.0,male,13.0,43.0,1047.56
other,285573.0,male,17.0,38.0,854.43
white,124811.0,male,18.0,37.0,862.42
white,222419.0,female,17.0,47.0,757.98
white,67824.0,male,18.0,35.0,782.01
hispanic,72914.0,female,15.0,45.0,721.1
white,82315.0,female,18.0,58.0,873.63
white,19786.0,female,14.0,51.0,791.3
other,5214.0,female,12.0,55.0,812.3
asian,61374.0,male,17.0,26.0,536.2
white,74617.0,male,16.0,29.0,587.41
white,75888.0,male,17.0,35.0,770.26
hispanic,101815.0,male,15.0,35.0,920.89
white,31179.0,female,12.0,50.0,758.5
white,62390.0,male,17.0,33.0,701.21
white,14502.0,male,15.0,40.0,925.27
other,16698.0,female,11.0,58.0,839.32
other,24035.0,male,12.0,36.0,780.66
white,115238.0,female,19.0,50.0,783.69
hispanic,119930.0,male,14.0,28.0,734.6
white,17708.0,female,13.0,47.0,726.55
white,7853.0,other,14.0,27.0,513.81
white,28304.0,female,13.0,59.0,852.89
black,25151.0,male,12.0,35.0,764.86
hispanic,448931.0,male,15.0,32.0,834.36
white,29911.0,male,13.0,38.0,841.6
other,150668.0,female,16.0,54.0,826.71
white,53292.0,female,16.0,54.0,824.5
white,103117.0,male,19.0,40.0,922.17
white,97205.0,male,17.0,31.0,645.13
hispanic,53567.0,female,15.0,49.0,780.49
white,19913.0,male,14.0,35.0,750.51
hispanic,18005.0,male,12.0,32.0,814.0
other,36349.0,male,10.0,27.0,504.66
white,51181.0,female,16.0,49.0,762.64
white,5998.0,male,13.0,31.0,621.69
white,17633.0,female,14.0,48.0,732.17
asian,114176.0,male,19.0,32.0,716.79
white,227891.0,female,18.0,50.0,801.84
white,23584.0,female,16.0,51.0,760.23
white,62273.0,male,15.0,32.0,663.78
asian,52722.0,female,17.0,50.0,887.86
black,117157.0,male,17.0,35.0,786.86
black,40094.0,female,15.0,50.0,534.68
white,47479.0,male,17.0,33.0,716.88
white,128019.0,male,19.0,35.0,779.18
white,112121.0,male,17.0,30.0,609.63
white,55157.0,female,16.0,53.0,791.24
white,37979.0,female,14.0,58.0,843.86
white,122878.0,male,19.0,38.0,893.16
black,83608.0,female,15.0,46.0,521.14
white,81583.0,female,18.0,51.0,792.82
white,47651.0,female,15.0,51.0,777.17
white,50843.0,male,14.0,28.0,578.4
asian,47061.0,female,17.0,51.0,897.13
other,90581.0,male,15.0,33.0,712.63
white,46853.0,male,17.0,34.0,733.02
white,77309.0,female,16.0,49.0,745.74
black,81214.0,male,16.0,32.0,682.76
white,57169.0,male,17.0,38.0,864.04
asian,9421.0,male,14.0,30.0,583.86
white,84356.0,male,19.0,38.0,871.98
other,198156.0,male,18.0,35.0,776.23
other,16009.0,male,12.0,30.0,587.78
white,170190.0,male,17.0,35.0,749.77
white,60777.0,male,17.0,35.0,737.83
white,22491.0,male,15.0,29.0,571.77
black,98092.0,female,15.0,43.0,476.23
other,74331.0,female,15.0,44.0,719.5
white,73773.0,male,17.0,37.0,852.87
white,45362.0,male,18.0,36.0,795.74
white,444309.0,female,18.0,44.0,746.84
white,102442.0,female,19.0,49.0,772.95
white,56298.0,female,15.0,51.0,796.5
black,145338.0,male,16.0,29.0,575.21
hispanic,28043.0,female,11.0,43.0,687.83
white,43687.0,female,17.0,50.0,782.67
white,168366.0,male,18.0,35.0,773.32
black,74552.0,female,12.0,46.0,521.01
white,29020.0,female,14.0,47.0,724.15
white,13857.0,male,12.0,32.0,636.91
asian,40711.0,male,18.0,32.0,684.25
white,46223.0,male,16.0,36.0,785.1
hispanic,63471.0,female,15.0,55.0,830.57
black,55765.0,female,13.0,50.0,550.53
white,15896.0,male,13.0,29.0,584.98
white,27990.0,male,16.0,37.0,828.26
white,25841.0,male,14.0,30.0,603.35
other,142306.0,female,17.0,53.0,834.89
hispanic,14592.0,male,13.0,29.0,703.22
white,75247.0,male,17.0,28.0,583.22
white,6618.0,male,15.0,36.0,755.72
white,74429.0,female,17.0,56.0,855.17
white,51403.0,female,17.0,49.0,773.27
white,40714.0,female,16.0,47.0,736.41
white,259114.0,male,17.0,34.0,743.03
asian,8402.0,male,15.0,30.0,587.26
other,158001.0,male,16.0,30.0,645.32
other,38311.0,male,12.0,32.0,672.41
white,42830.0,male,15.0,35.0,752.4
white,16664.0,male,13.0,39.0,873.78
white,6487.0,female,13.0,47.0,708.99
hispanic,192938.0,male,16.0,32.0,822.59
hispanic,26823.0,female,12.0,46.0,700.75
hispanic,60191.0,male,14.0,35.0,931.16
hispanic,20430.0,female,11.0,48.0,717.04
white,52118.0,female,16.0,48.0,791.46
asian,157117.0,female,18.0,41.0,831.86
white,19034.0,male,14.0,32.0,632.78
white,55789.0,female,16.0,45.0,734.2
white,315539.0,male,16.0,32.0,702.59
other,32654.0,male,12.0,32.0,643.94
other,200004.0,male,15.0,31.0,685.82
white,31838.0,female,14.0,45.0,702.59
white,40700.0,male,17.0,34.0,758.06
hispanic,61288.0,female,14.0,43.0,682.64
white,218694.0,male,18.0,35.0,777.05
white,94954.0,male,19.0,33.0,708.43
white,263933.0,male,19.0,32.0,692.32
asian,27102.0,female,14.0,54.0,916.6
hispanic,193809.0,female,15.0,54.0,843.81
hispanic,170693.0,female,17.0,57.0,863.93
white,144977.0,male,17.0,45.0,1138.47
white,37126.0,male,14.0,33.0,701.23
hispanic,48069.0,male,14.0,31.0,791.9
white,31698.0,male,14.0,43.0,1016.8
white,48317.0,female,16.0,53.0,809.58
black,62971.0,female,13.0,46.0,501.4
white,90519.0,female,17.0,51.0,797.67
white,17195.0,female,13.0,49.0,740.74
hispanic,30060.0,female,13.0,48.0,713.33
black,46522.0,male,13.0,32.0,656.28
asian,320242.0,male,19.0,31.0,671.02
white,191963.0,male,19.0,30.0,634.96
white,22748.0,male,14.0,34.0,716.02
white,71947.0,female,14.0,45.0,702.32
white,25674.0,male,14.0,31.0,635.48
white,115316.0,male,18.0,37.0,849.52
white,140890.0,female,18.0,48.0,769.78
white,14171.0,male,13.0,27.0,520.34
white,128221.0,female,17.0,41.0,665.51
asian,19932.0,male,13.0,26.0,491.31
black,19129.0,female,12.0,51.0,548.22
white,385291.0,female,18.0,51.0,826.53
white,18022.0,male,13.0,43.0,1024.56
hispanic,161801.0,female,17.0,47.0,754.67
white,61320.0,female,14.0,50.0,740.07
white,36552.0,male,13.0,38.0,889.86
white,31735.0,male,13.0,35.0,746.84
hispanic,22353.0,male,12.0,33.0,850.65
hispanic,7983.0,male,11.0,34.0,842.23
white,62459.0,female,14.0,48.0,738.1
other,55261.0,male,11.0,37.0,816.26
black,38214.0,female,12.0,54.0,627.56
white,27043.0,female,15.0,45.0,701.99
white,325274.0,male,18.0,30.0,644.6
other,100404.0,female,16.0,56.0,837.08
white,25141.0,female,15.0,43.0,667.84
white,48395.0,male,16.0,27.0,564.14
asian,21950.0,male,16.0,28.0,546.78
white,43393.0,male,16.0,32.0,658.75
white,63734.0,male,14.0,35.0,767.9
hispanic,19756.0,male,13.0,31.0,775.13
black,62701.0,male,15.0,33.0,674.07
asian,53192.0,female,16.0,44.0,824.44
white,131575.0,female,17.0,44.0,719.73
other,24832.0,female,12.0,54.0,795.89
hispanic,20743.0,female,11.0,52.0,766.17
hispanic,83996.0,male,16.0,30.0,779.43
hispanic,38125.0,female,11.0,53.0,798.51
white,15175.0,male,12.0,26.0,468.41
white,59449.0,female,15.0,50.0,786.28
asian,136532.0,male,21.0,37.0,875.08
other,60228.0,male,13.0,37.0,811.63
asian,8925.0,male,16.0,31.0,621.2
black,20651.0,female,12.0,56.0,638.68
hispanic,344073.0,female,16.0,50.0,800.28
other,69778.0,female,15.0,57.0,868.92
white,87901.0,female,18.0,56.0,863.17
white,104495.0,female,19.0,48.0,775.91
black,111416.0,female,14.0,55.0,633.65
hispanic,17443.0,female,10.0,48.0,729.16
white,45010.0,male,16.0,32.0,651.87
white,51566.0,male,16.0,37.0,835.05
white,23087.0,female,14.0,49.0,756.19
asian,149819.0,female,19.0,53.0,939.84
white,22040.0,female,15.0,51.0,750.65
white,17211.0,male,14.0,39.0,871.23
white,163522.0,male,17.0,30.0,636.58
white,54310.0,male,17.0,35.0,759.3
white,49560.0,female,15.0,50.0,775.11
hispanic,46606.0,female,15.0,51.0,754.08
white,60063.0,male,15.0,31.0,634.07
black,133898.0,male,16.0,37.0,827.52
white,358304.0,female,18.0,48.0,789.7
hispanic,73454.0,male,14.0,31.0,779.28
white,24504.0,female,16.0,49.0,754.72
white,41746.0,male,17.0,29.0,606.71
black,31452.0,male,9.0,35.0,761.56
other,186024.0,female,15.0,48.0,759.82
black,21186.0,male,12.0,34.0,712.57
white,59244.0,male,15.0,26.0,497.33
black,74822.0,male,14.0,34.0,754.77
white,166428.0,male,17.0,37.0,849.48
black,32924.0,male,11.0,33.0,689.91
white,73530.0,male,15.0,33.0,723.52
white,50759.0,male,16.0,31.0,660.71
asian,18471.0,male,14.0,40.0,920.12
hispanic,96993.0,male,16.0,33.0,881.24
white,20545.0,female,13.0,57.0,836.73
hispanic,134652.0,female,17.0,50.0,798.62
black,60257.0,male,14.0,33.0,694.54
white,196658.0,male,18.0,37.0,842.12
black,12438.0,female,12.0,50.0,517.42
white,38586.0,male,14.0,30.0,602.83
white,26126.0,male,14.0,31.0,636.01
white,94568.0,female,18.0,50.0,786.14
white,41980.0,female,18.0,57.0,846.71
white,101941.0,female,18.0,53.0,826.26
other,7766.0,male,12.0,32.0,647.68
white,15431.0,female,15.0,45.0,698.53
white,30875.0,female,14.0,51.0,777.06
white,90142.0,male,17.0,35.0,778.95
asian,18580.0,female,16.0,50.0,866.92
white,28862.0,female,14.0,43.0,691.73
white,49046.0,female,17.0,51.0,802.5
other,62082.0,female,15.0,54.0,799.36
asian,541381.0,female,16.0,46.0,884.09
white,12997.0,female,14.0,54.0,797.29
hispanic,33860.0,male,12.0,33.0,835.13
other,51652.0,female,13.0,44.0,698.01
white,42478.0,female,17.0,53.0,825.91
white,23979.0,female,14.0,52.0,781.53
hispanic,58290.0,male,14.0,41.0,1108.04
white,103010.0,male,19.0,38.0,857.99
hispanic,81831.0,female,17.0,51.0,772.48
white,36684.0,male,13.0,34.0,728.41
white,7347.0,female,13.0,53.0,788.92
white,22819.0,female,16.0,44.0,674.46
black,119682.0,male,18.0,31.0,662.37
other,49712.0,female,14.0,59.0,854.95
hispanic,223131.0,female,16.0,51.0,797.04
white,98121.0,female,18.0,51.0,798.17
hispanic,8506.0,male,10.0,35.0,869.4
hispanic,12632.0,male,12.0,39.0,1006.86
asian,220958.0,female,19.0,54.0,957.99
hispanic,30346.0,female,12.0,48.0,742.62
white,119289.0,male,17.0,40.0,935.05
white,19862.0,male,14.0,37.0,793.6
black,43700.0,female,15.0,45.0,488.0
white,227226.0,male,18.0,34.0,750.87
white,46380.0,male,15.0,37.0,827.49
hispanic,32713.0,male,12.0,34.0,849.65
white,319813.0,female,19.0,47.0,786.4
other,377864.0,male,14.0,36.0,834.93
white,81472.0,male,17.0,39.0,907.25
white,52641.0,female,15.0,48.0,747.42
white,59848.0,female,14.0,43.0,706.57
white,142182.0,male,19.0,30.0,657.86
hispanic,227522.0,female,15.0,54.0,818.53
white,136892.0,male,17.0,31.0,664.5
white,21614.0,male,15.0,33.0,692.85
white,88034.0,male,17.0,31.0,675.66
hispanic,23018.0,female,13.0,56.0,806.95
white,36789.0,male,15.0,30.0,593.36
asian,110723.0,female,16.0,48.0,852.44
asian,18702.0,male,15.0,33.0,689.05
white,94992.0,male,19.0,37.0,825.49
hispanic,14942.0,female,11.0,54.0,791.03
hispanic,85138.0,male,16.0,39.0,1047.78
black,23329.0,female,13.0,53.0,606.2
other,9172.0,female,12.0,54.0,755.41
asian,37700.0,female,15.0,49.0,847.61
black,35668.0,male,12.0,29.0,590.87
white,53849.0,female,15.0,46.0,712.41
white,15494.0,male,15.0,36.0,779.36
black,208172.0,male,17.0,33.0,735.52
white,74991.0,male,17.0,39.0,900.4
white,5827.0,female,15.0,51.0,724.73
white,57533.0,female,16.0,53.0,799.5
white,41508.0,female,17.0,53.0,850.6
black,82374.0,female,17.0,43.0,473.64
white,33561.0,male,12.0,33.0,657.21
other,43863.0,female,12.0,51.0,796.08
white,49053.0,male,16.0,39.0,889.48
white,118006.0,female,17.0,59.0,885.68
white,24734.0,female,14.0,53.0,777.38
other,395038.0,male,14.0,34.0,751.21
white,45920.0,female,16.0,53.0,813.31
other,63527.0,female,14.0,49.0,774.98
white,42586.0,male,16.0,41.0,967.03
white,82218.0,female,17.0,49.0,795.08
white,10581.0,female,15.0,51.0,749.75
black,50750.0,female,13.0,45.0,499.49
other,100717.0,male,17.0,39.0,904.61
white,137500.0,female,17.0,51.0,812.62
white,151626.0,female,19.0,54.0,826.93
white,70877.0,male,14.0,28.0,541.91
white,40321.0,female,16.0,50.0,758.91
hispanic,13761.0,female,11.0,48.0,694.24
black,68013.0,female,15.0,56.0,611.46
white,326859.0,male,18.0,32.0,707.27
white,43682.0,male,16.0,38.0,882.82
white,47518.0,male,15.0,29.0,581.58
white,22689.0,female,13.0,47.0,730.53
white,99630.0,male,17.0,32.0,680.73
black,3665.0,female,15.0,54.0,580.56
black,275744.0,female,15.0,57.0,666.47
hispanic,46470.0,male,13.0,32.0,822.59
hispanic,343302.0,male,15.0,39.0,1050.47
white,30784.0,female,15.0,50.0,746.07
other,160382.0,female,15.0,53.0,852.21
white,44478.0,female,17.0,47.0,762.38
asian,112252.0,female,19.0,46.0,870.72
black,178386.0,male,17.0,38.0,851.73
white,129556.0,male,18.0,31.0,657.2
white,36446.0,female,14.0,48.0,728.53
white,21623.0,male,14.0,36.0,752.29
white,112889.0,female,17.0,55.0,844.81
white,18759.0,female,16.0,52.0,803.03
white,34691.0,female,13.0,42.0,674.03
white,418944.0,female,18.0,39.0,694.61
asian,795108.0,male,17.0,39.0,937.03
other,56248.0,male,15.0,33.0,685.01
white,22469.0,female,14.0,48.0,750.85
white,195572.0,female,18.0,46.0,755.26
white,148067.0,male,17.0,29.0,603.79
white,57407.0,male,15.0,25.0,457.5
white,42983.0,female,18.0,50.0,777.16
white,7637.0,female,14.0,50.0,743.11
hispanic,222802.0,female,16.0,53.0,831.93
white,58170.0,male,16.0,41.0,953.4
asian,171395.0,female,19.0,55.0,1006.97
white,159994.0,male,18.0,33.0,714.98
white,37271.0,male,14.0,34.0,714.58
white,98181.0,male,19.0,25.0,475.22
hispanic,64978.0,male,14.0,42.0,1152.94
white,20216.0,female,14.0,55.0,818.7
white,98703.0,male,19.0,44.0,1095.88
white,77998.0,female,16.0,51.0,781.93
other,46561.0,female,15.0,42.0,693.58
white,50208.0,female,15.0,54.0,800.27
white,173331.0,male,17.0,40.0,943.14
white,63994.0,female,15.0,47.0,732.43
other,136417.0,male,15.0,33.0,711.39
other,23078.0,female,11.0,50.0,738.51
white,78612.0,female,15.0,51.0,801.47
white,37158.0,male,14.0,33.0,686.86
hispanic,108625.0,male,16.0,34.0,880.5
other,350982.0,male,15.0,33.0,724.23
hispanic,76595.0,male,13.0,33.0,850.29
other,76656.0,male,13.0,35.0,771.4
black,46713.0,male,13.0,38.0,845.41
white,70244.0,male,17.0,37.0,834.22
other,91282.0,female,16.0,47.0,750.2
white,20272.0,female,15.0,46.0,705.25
black,94989.0,female,17.0,47.0,552.41
white,35154.0,male,14.0,33.0,690.28
white,213895.0,female,17.0,51.0,789.56
white,34060.0,male,13.0,35.0,755.96
white,77235.0,female,16.0,52.0,796.46
black,31790.0,male,11.0,29.0,563.65
hispanic,213725.0,male,16.0,31.0,818.79
white,54069.0,female,16.0,46.0,735.05
black,13709.0,female,14.0,48.0,531.55
other,37363.0,female,12.0,60.0,858.37
hispanic,36297.0,male,13.0,34.0,860.16
black,19029.0,female,11.0,45.0,469.49
other,70031.0,female,12.0,47.0,742.2
white,14957.0,female,14.0,52.0,774.64
white,9838.0,male,13.0,34.0,692.93
white,27806.0,female,12.0,52.0,763.24
hispanic,266746.0,female,16.0,55.0,854.63
white,13504.0,female,13.0,57.0,816.49
white,33113.0,male,15.0,34.0,719.25
other,116225.0,male,16.0,41.0,977.23
hispanic,17105.0,female,11.0,56.0,804.55
white,41324.0,male,15.0,34.0,714.45
black,145180.0,female,16.0,49.0,584.7
asian,144505.0,male,20.0,37.0,856.68
white,69972.0,female,16.0,49.0,785.91
white,7260.0,female,15.0,48.0,718.56
white,190109.0,male,18.0,38.0,895.84
white,39662.0,male,13.0,30.0,603.22
white,140270.0,female,18.0,54.0,845.98
black,61717.0,male,17.0,31.0,659.57
white,60760.0,male,15.0,31.0,624.69
white,3740.0,male,15.0,37.0,807.55
white,284677.0,female,16.0,57.0,875.54
white,147451.0,male,18.0,32.0,691.18
white,10843.0,male,15.0,32.0,659.42
black,96870.0,male,16.0,30.0,638.27
white,162416.0,male,19.0,31.0,650.76
white,164350.0,male,17.0,35.0,779.21
white,10837.0,female,14.0,51.0,736.33
black,69027.0,male,15.0,32.0,682.24
white,20166.0,female,14.0,62.0,888.96
white,72003.0,male,15.0,36.0,780.51
hispanic,83259.0,female,14.0,47.0,735.96
white,87572.0,female,20.0,53.0,847.45
black,22184.0,male,11.0,32.0,633.4
white,44060.0,male,17.0,36.0,795.97
white,8815.0,male,15.0,31.0,618.15
hispanic,114042.0,female,18.0,57.0,890.64
white,109880.0,male,18.0,33.0,738.6
other,160828.0,female,16.0,52.0,833.38
white,105693.0,female,19.0,45.0,751.32
white,35957.0,male,14.0,27.0,534.24
white,62308.0,female,16.0,51.0,781.7
hispanic,34653.0,male,10.0,37.0,953.33
black,21824.0,female,12.0,44.0,477.31
white,132429.0,female,18.0,58.0,883.14
hispanic,54396.0,female,14.0,51.0,768.64
white,38642.0,male,14.0,37.0,818.72
white,54158.0,female,16.0,53.0,817.55
white,144202.0,male,16.0,31.0,636.11
black,134657.0,female,14.0,51.0,571.18
white,17185.0,female,15.0,52.0,796.39
white,12567.0,male,15.0,34.0,710.08
white,298382.0,male,17.0,40.0,955.16
white,206998.0,female,19.0,49.0,774.0
white,209267.0,female,18.0,51.0,824.12
white,9759.0,male,14.0,30.0,596.45
white,10271.0,male,12.0,33.0,669.58
white,535457.0,female,15.0,54.0,844.59
white,21192.0,male,14.0,33.0,664.9
black,55811.0,female,12.0,51.0,536.52
white,226036.0,female,17.0,55.0,855.46
white,18738.0,female,12.0,55.0,820.96
other,99812.0,female,15.0,49.0,751.67
white,82344.0,male,18.0,34.0,760.2
white,70569.0,female,15.0,45.0,715.12
white,100527.0,female,17.0,47.0,763.12
white,112245.0,male,17.0,27.0,566.11
white,41052.0,male,17.0,34.0,734.95
asian,21047.0,female,14.0,53.0,892.3
white,54656.0,female,18.0,54.0,819.34
black,239662.0,male,17.0,44.0,1109.5
hispanic,218572.0,male,16.0,35.0,925.72
white,29416.0,female,13.0,48.0,721.64
white,32258.0,female,13.0,49.0,739.95
hispanic,7448.0,male,13.0,32.0,783.36
white,66276.0,female,18.0,51.0,806.12
other,32461.0,female,14.0,52.0,776.28
white,229614.0,female,18.0,50.0,804.71
white,117735.0,male,18.0,30.0,640.24
black,28323.0,female,12.0,49.0,544.43
white,37597.0,female,15.0,47.0,740.69
white,180524.0,female,17.0,45.0,727.33
white,90080.0,female,18.0,49.0,770.28
white,60227.0,female,16.0,47.0,735.65
white,139997.0,female,18.0,56.0,878.2
hispanic,17411.0,male,12.0,42.0,1155.09
other,60411.0,male,15.0,31.0,644.44
white,114001.0,female,17.0,56.0,855.4
white,48474.0,female,17.0,51.0,782.82
black,9841.0,female,12.0,44.0,477.84
white,32390.0,male,15.0,38.0,855.07
white,149460.0,male,20.0,32.0,683.03
white,111838.0,female,17.0,54.0,845.22
white,23183.0,male,14.0,35.0,745.94
black,112205.0,female,17.0,55.0,628.31
hispanic,27859.0,male,14.0,31.0,767.74
asian,32722.0,male,16.0,35.0,748.88
black,57633.0,male,14.0,31.0,626.65
other,22524.0,female,12.0,57.0,824.99
other,32351.0,male,11.0,37.0,802.71
white,20682.0,male,14.0,36.0,761.39
white,73457.0,female,16.0,52.0,804.92
white,26339.0,female,15.0,58.0,857.16
white,36453.0,female,13.0,52.0,788.73
white,58058.0,female,16.0,52.0,783.95
white,38024.0,male,14.0,39.0,893.99
white,48789.0,male,15.0,32.0,658.21
white,22353.0,male,14.0,39.0,845.78
black,84683.0,male,16.0,38.0,862.07
other,24756.0,male,13.0,33.0,659.72
white,24659.0,female,14.0,52.0,788.28
white,66337.0,female,16.0,52.0,780.53
white,10651.0,male,13.0,29.0,550.61
white,42512.0,male,16.0,38.0,855.07
hispanic,23944.0,male,12.0,32.0,797.14
asian,40820.0,male,17.0,31.0,621.78
other,467453.0,male,16.0,38.0,883.06
